seq_idx,frame_idx,mpjpe,pampjpe,mmwave_points,loc_err,centroid_err,gt_jerk,pred_jerk,gt_flip,pred_flip,gt_lidar_dist,pred_lidar_dist
791,111,138.815643,40.673191,29,nan,1.147130,0.012947,0.028249,0.058824,0.000000,0.089888,0.061464
791,210,138.727127,47.425739,29,nan,1.084145,0.016989,0.034727,0.176471,0.294118,0.062441,0.081347
791,17,138.615005,43.800674,42,nan,1.172478,0.027103,0.030284,0.235294,0.294118,0.120970,0.062192
791,92,138.601990,32.981014,40,nan,1.167313,0.028540,0.038014,0.705882,0.882353,0.126193,0.069877
791,15,138.553070,44.720127,30,nan,1.163252,0.036679,0.031875,0.647059,0.235294,0.121685,0.070455
791,11,138.514206,33.316628,21,nan,1.166727,0.013379,0.031503,0.058824,0.058824,0.125952,0.066786
791,16,138.348969,45.620392,42,nan,1.171432,0.030974,0.031377,0.411765,0.294118,0.122132,0.066983
791,294,138.300644,40.437763,28,nan,1.131216,0.014528,0.048974,0.117647,0.352941,0.073404,0.069965
565,235,138.206161,19.060284,82,nan,1.324687,0.120554,0.103228,0.000000,0.235294,0.174918,0.082900
791,115,137.810684,33.958195,13,nan,1.167581,0.015248,0.023003,0.117647,0.000000,0.125240,0.062745
315,122,137.775604,74.153999,17,nan,1.098093,0.028081,0.104057,0.470588,0.941176,0.157468,0.139569
791,2,137.766235,32.866131,18,nan,1.062679,0.021803,0.035045,0.235294,1.000000,0.077057,0.071893
791,221,137.566223,36.969395,18,nan,1.163981,0.026739,0.063010,0.411765,0.823529,0.129976,0.069284
791,65,137.530884,33.233932,20,nan,1.162150,0.027954,0.022194,0.411765,0.117647,0.120925,0.072883
791,217,137.183914,29.674541,30,nan,1.170124,0.017484,0.023698,0.058824,0.058824,0.116516,0.060166
315,288,136.940994,64.490295,20,nan,1.066193,0.049543,0.070953,0.470588,0.470588,0.140222,0.112473
791,48,136.850311,35.701649,32,nan,1.117058,0.007658,0.021694,0.000000,0.117647,0.050952,0.080880
805,217,136.688644,28.015751,25,nan,1.241324,0.033203,0.056201,0.000000,0.117647,0.108549,0.046214
791,262,136.683243,41.061371,14,nan,1.063239,0.036361,0.033749,0.705882,0.411765,0.053889,0.086829
791,292,136.546768,39.770790,34,nan,1.097719,0.018325,0.023467,0.058824,0.058824,0.053101,0.083303
791,145,136.534775,34.075291,32,nan,1.170403,0.022749,0.023136,0.411765,0.117647,0.124943,0.066818
791,272,136.450455,33.310177,16,nan,1.164296,0.017552,0.031012,0.000000,0.058824,0.118453,0.064009
791,102,136.406174,34.504070,17,nan,1.076674,0.011732,0.028447,0.000000,0.058824,0.055330,0.085410
791,34,136.273697,40.395947,33,nan,1.154738,0.012861,0.030428,0.058824,0.058824,0.093311,0.056936
